passenger_name,tpep_pickup_datetime,tpep_dropoff_datetime,payment_method,passenger_count,trip_distance,fare_amount,tip_amount,tolls_amount,passenger_first_name,travel_time,travel_time_sec,total_amount
John Smith,2017-10-25 16:51:28,2017-10-25 17:48:45,Cash,1,17.9,52.0,15.75,5.76,Smith,0 days 00:57:17,3437.0,73.51
John Webster,2017-09-05 15:58:13,2017-09-05 16:34:56,Cash,5,11.16,34.5,8.21,5.76,Webster,0 days 00:36:43,2203.0,48.47
Amy Jones,2017-03-17 12:10:43,2017-03-17 12:17:00,Card,1,0.5,5.5,0.0,0.0,Jones,0 days 00:06:17,377.0,5.5
Scott Baxter,2017-02-14 16:16:49,2017-02-14 17:28:59,Card,1,15.73,52.0,0.0,0.0,Baxter,0 days 01:12:10,4330.0,52.0
Gregory Clark,2017-05-29 09:04:09,2017-05-29 09:24:31,Card,1,8.6,26.0,5.35,0.0,Clark,0 days 00:20:22,1222.0,31.35
Briana Morgan,2017-01-29 13:57:26,2017-01-29 14:01:43,Cash,1,0.7,5.0,1.04,0.0,Morgan,0 days 00:04:17,257.0,6.04
Willie Campbell,2017-12-12 10:49:24,2017-12-12 11:14:43,Card,2,1.8,15.5,3.25,0.0,Campbell,0 days 00:25:19,1519.0,18.75
Monica Campbell,2017-11-10 19:28:25,2017-11-10 19:33:56,Card,5,0.63,5.5,1.26,0.0,Campbell,0 days 00:05:31,331.0,6.76
Lisa Rivas,2017-03-15 08:59:26,2017-03-15 09:34:32,Cash,1,3.8,24.5,3.7,0.0,Rivas,0 days 00:35:06,2106.0,28.2
Erica Johnson,2017-02-24 06:58:15,2017-02-24 07:01:56,Cash,1,0.6,4.5,0.0,0.0,Johnson,0 days 00:03:41,221.0,4.5
Helen Mitchell,2017-01-24 15:34:11,2017-01-24 16:24:39,Cash,1,13.8,45.0,0.0,0.0,Mitchell,0 days 00:50:28,3028.0,45.0
Randall Thomas,2017-02-01 18:46:53,2017-02-01 18:53:08,Card,5,0.52,5.5,1.46,0.0,Thomas,0 days 00:06:15,375.0,6.96
Mathew Lucas,2017-03-11 18:49:37,2017-03-11 19:07:30,Card,1,2.9,13.5,2.86,0.0,Lucas,0 days 00:17:53,1073.0,16.36
Dustin Davis,2017-04-17 21:27:07,2017-04-17 21:35:12,Cash,1,1.8,8.5,1.95,0.0,Davis,0 days 00:08:05,485.00000000000006,10.45
Justin Mccoy,2017-08-26 16:38:17,2017-08-26 16:50:34,Cash,5,2.83,11.5,3.08,0.0,Mccoy,0 days 00:12:17,737.0,14.58
Mrs. Claire Walsh,2017-12-06 19:47:26,2017-12-06 19:53:02,Cash,1,0.7,5.5,1.45,0.0,Walsh,0 days 00:05:36,336.0,6.95
Robyn Wilson,2017-01-24 20:05:36,2017-01-24 20:14:25,Card,1,1.3,7.5,0.0,0.0,Wilson,0 days 00:08:49,529.0,7.5
Carmen Thompson,2017-05-11 19:05:27,2017-05-11 19:20:19,Cash,1,1.9,11.0,0.0,0.0,Thompson,0 days 00:14:52,892.0,11.0
Troy Pierce,2017-12-17 01:02:36,2017-12-17 01:04:48,Card,1,0.6,4.0,1.05,0.0,Pierce,0 days 00:02:12,132.0,5.05
Caleb Smith,2017-07-26 17:19:41,2017-07-26 17:41:03,Cash,1,0.89,13.0,0.0,0.0,Smith,0 days 00:21:22,1282.0,13.0
Laura Howard,2017-01-27 02:54:45,2017-01-27 03:20:25,Card,1,14.07,39.0,3.0,0.0,Howard,0 days 00:25:40,1540.0,42.0
Alexander Novak,2017-07-09 13:43:30,2017-07-09 13:59:38,Card,1,1.78,11.5,2.46,0.0,Novak,0 days 00:16:08,968.0000000000001,13.96
Hannah Ramos,2017-12-09 12:36:37,2017-12-09 12:43:27,Cash,5,0.65,6.0,1.7,0.0,Ramos,0 days 00:06:50,410.0,7.7
Denise Esparza,2017-12-01 19:42:47,2017-12-01 19:58:25,Card,1,2.4,12.0,2.0,0.0,Esparza,0 days 00:15:38,938.0000000000001,14.0
Laura Wright,2017-08-01 17:11:23,2017-08-01 17:26:02,Card,1,1.0,10.0,2.35,0.0,Wright,0 days 00:14:39,879.0,12.35
James Gallagher,2017-10-02 18:24:27,2017-10-02 18:30:05,Cash,1,0.9,5.5,1.45,0.0,Gallagher,0 days 00:05:38,338.0,6.95
Stephanie Garcia,2017-10-29 20:00:33,2017-10-29 20:06:39,Card,2,0.8,6.0,1.45,0.0,Garcia,0 days 00:06:06,366.0,7.45
Tyler Price,2017-10-13 21:38:27,2017-10-13 21:48:09,Card,1,1.1,7.5,0.0,0.0,Price,0 days 00:09:42,582.0,7.5
Gregory Humphrey,2017-12-19 10:17:58,2017-12-19 10:29:17,Card,1,1.31,9.0,0.98,0.0,Humphrey,0 days 00:11:19,679.0,9.98
Alicia Davis,2017-08-05 14:54:57,2017-08-05 15:03:47,Card,1,1.0,7.0,0.0,0.0,Davis,0 days 00:08:50,530.0,7.0
Cassandra Valdez,2017-05-02 09:45:44,2017-05-02 09:50:00,Card,1,1.2,6.0,0.0,0.0,Valdez,0 days 00:04:16,256.0,6.0
Charles Brock,2017-03-28 23:19:44,2017-03-28 23:33:24,Cash,1,1.9,11.0,1.0,0.0,Brock,0 days 00:13:40,820.0,12.0
Pamela Shannon,2017-03-08 15:32:29,2017-03-08 15:50:46,Card,1,1.4,12.0,1.0,0.0,Shannon,0 days 00:18:17,1097.0,13.0
Geoffrey Mclaughlin,2017-11-12 03:33:08,2017-11-12 03:47:32,Cash,1,2.32,11.0,2.46,0.0,Mclaughlin,0 days 00:14:24,864.0,13.46
Leah Hoover,2017-08-09 08:36:57,2017-08-09 08:46:38,Cash,2,0.77,7.5,1.11,0.0,Hoover,0 days 00:09:41,581.0,8.61
Theodore Bass,2017-03-13 22:02:36,2017-03-13 22:13:05,Card,3,1.79,9.0,2.06,0.0,Bass,0 days 00:10:29,629.0,11.06
Robert Martinez,2017-09-15 21:38:07,2017-09-15 21:46:29,Cash,5,0.7,6.5,0.0,0.0,Martinez,0 days 00:08:22,502.00000000000006,6.5
Tamara Martinez,2017-09-06 08:10:35,2017-09-06 08:33:34,Cash,1,1.91,14.5,0.0,0.0,Martinez,0 days 00:22:59,1379.0,14.5
Jacob Ferguson,2017-08-25 02:12:57,2017-08-25 02:19:37,Cash,1,1.0,6.0,1.45,0.0,Ferguson,0 days 00:06:40,400.0,7.45
Lori Booker,2017-12-08 20:49:20,2017-12-08 20:59:55,Cash,1,1.2,8.0,1.95,0.0,Booker,0 days 00:10:35,635.0,9.95
Danny Farrell,2017-10-14 14:52:40,2017-10-14 14:59:28,Cash,1,0.9,6.0,1.0,0.0,Farrell,0 days 00:06:48,408.0,7.0
Daniel Scott,2017-05-03 07:47:22,2017-05-03 07:59:57,Card,1,1.2,9.0,1.0,0.0,Scott,0 days 00:12:35,755.0,10.0
Michele Aguirre,2017-04-14 18:36:36,2017-04-14 18:42:12,Cash,1,0.36,5.0,0.0,0.0,Aguirre,0 days 00:05:36,336.0,5.0
Julie Harper,2017-11-15 23:09:00,2017-11-15 23:15:38,Card,4,0.9,6.5,0.0,0.0,Harper,0 days 00:06:38,398.0,6.5
Bernard Coleman,2017-05-09 10:16:53,2017-05-09 10:36:53,Card,6,1.67,13.0,2.76,0.0,Coleman,0 days 00:20:00,1200.0,15.76
Brandy Wade,2017-05-28 00:07:50,2017-05-28 00:17:52,Card,1,3.3,11.0,0.0,0.0,Wade,0 days 00:10:02,602.0,11.0
John Hughes,2017-11-13 08:20:58,2017-11-13 08:31:01,Card,4,1.32,8.0,2.2,0.0,Hughes,0 days 00:10:03,603.0,10.2
Jaclyn Johnson,2017-08-09 13:29:13,2017-08-09 13:38:05,Cash,1,1.54,8.5,2.32,0.0,Johnson,0 days 00:08:52,532.0,10.82
Joshua Myers,2017-07-18 23:46:11,2017-07-18 23:54:31,Cash,1,2.27,9.0,2.06,0.0,Myers,0 days 00:08:20,500.00000000000006,11.06
Lisa Vaughn,2017-07-23 14:11:19,2017-07-23 14:22:08,Card,1,0.8,8.0,0.0,0.0,Vaughn,0 days 00:10:49,649.0,8.0
Curtis Contreras,2017-08-17 21:26:38,2017-08-17 21:45:32,Cash,1,3.7,17.0,1.0,0.0,Contreras,0 days 00:18:54,1134.0,18.0
William Kelley,2017-12-15 21:32:30,2017-12-15 21:37:07,Card,1,0.59,5.0,1.58,0.0,Kelley,0 days 00:04:37,277.0,6.58
Thomas Spencer,2017-02-12 16:56:40,2017-02-12 17:01:08,Card,1,0.4,4.5,1.05,0.0,Spencer,0 days 00:04:28,268.0,5.55
Jason Miller,2017-03-17 22:37:57,2017-03-17 23:10:44,Card,2,12.48,37.0,6.0,0.0,Miller,0 days 00:32:47,1967.0000000000002,43.0
Lance Roth,2017-12-02 23:53:22,2017-12-03 00:04:16,Card,1,1.2,8.5,0.0,0.0,Roth,0 days 00:10:54,654.0,8.5
Brian Morris,2017-10-21 12:05:07,2017-10-21 12:26:16,Cash,3,2.5,15.0,3.95,0.0,Morris,0 days 00:21:09,1269.0,18.95
Tiffany Howe,2017-06-10 18:36:03,2017-06-10 19:07:17,Cash,2,4.17,21.5,2.0,0.0,Howe,0 days 00:31:14,1874.0000000000002,23.5
Carol Hartman,2017-03-02 18:00:16,2017-03-02 18:06:28,Cash,5,1.74,7.5,1.0,0.0,Hartman,0 days 00:06:12,372.0,8.5
Julie Glover,2017-03-23 19:03:12,2017-03-23 19:10:59,Cash,1,0.91,6.5,0.0,0.0,Glover,0 days 00:07:47,467.00000000000006,6.5
Kayla Parker,2017-06-03 10:24:27,2017-06-03 10:32:56,Card,1,1.61,8.0,0.0,0.0,Parker,0 days 00:08:29,509.00000000000006,8.0
Jamie Huffman,2017-06-29 15:39:47,2017-06-29 15:48:57,Cash,1,0.4,7.0,0.0,0.0,Huffman,0 days 00:09:10,550.0,7.0
Daniel Brennan,2017-05-20 10:43:26,2017-05-20 11:04:11,Cash,1,2.5,14.0,2.95,0.0,Brennan,0 days 00:20:45,1245.0,16.95
Kyle Adkins,2017-12-28 08:43:27,2017-12-28 08:51:42,Cash,1,1.4,8.0,1.0,0.0,Adkins,0 days 00:08:15,495.00000000000006,9.0
Aaron Petty,2017-09-17 19:55:55,2017-09-17 20:08:36,Cash,5,2.19,10.5,0.0,0.0,Petty,0 days 00:12:41,761.0,10.5
Dylan Beasley,2017-09-09 23:51:55,2017-09-10 00:14:55,Cash,1,11.34,33.0,0.0,0.0,Beasley,0 days 00:23:00,1380.0,33.0
Kristy Avila,2017-01-02 18:38:15,2017-01-02 18:42:58,Cash,1,0.8,5.0,1.15,0.0,Avila,0 days 00:04:43,283.0,6.15
Alfred Byrd,2017-10-20 10:16:14,2017-10-20 10:21:36,Cash,1,0.43,5.0,0.0,0.0,Byrd,0 days 00:05:22,322.0,5.0
Susan Gordon DVM,2017-07-10 00:17:15,2017-07-10 00:23:38,Card,1,1.36,7.0,0.0,0.0,DVM,0 days 00:06:23,383.0,7.0
Heather Brown,2017-05-15 17:57:34,2017-05-15 18:00:06,Card,1,0.56,4.0,1.16,0.0,Brown,0 days 00:02:32,152.0,5.16
Cassandra Vaughn,2017-08-01 20:41:05,2017-08-01 20:49:07,Card,1,1.4,7.5,1.2,0.0,Vaughn,0 days 00:08:02,482.00000000000006,8.7
Jared Taylor,2017-06-23 01:56:31,2017-06-23 02:12:04,Cash,2,4.62,15.5,3.36,0.0,Taylor,0 days 00:15:33,933.0000000000001,18.86
Michael Gibson,2017-04-12 18:21:42,2017-04-12 18:32:25,Cash,1,2.83,11.5,2.66,0.0,Gibson,0 days 00:10:43,643.0,14.16
Jamie Gonzalez,2017-01-26 18:22:30,2017-01-26 18:41:58,Cash,1,2.01,13.0,2.96,0.0,Gonzalez,0 days 00:19:28,1168.0,15.96
Courtney Maldonado,2017-04-13 15:38:59,2017-04-13 15:51:57,Cash,1,1.4,9.5,0.0,0.0,Maldonado,0 days 00:12:58,778.0,9.5
Cheryl Smith MD,2017-09-09 23:11:44,2017-09-09 23:29:51,Card,4,2.06,12.5,2.76,0.0,MD,0 days 00:18:07,1087.0,15.26
Jasmine Curtis,2017-11-19 13:54:03,2017-11-19 13:59:26,Card,5,0.94,5.5,1.26,0.0,Curtis,0 days 00:05:23,323.0,6.76
Austin Medina,2017-04-01 15:46:01,2017-04-01 15:58:50,Cash,1,2.5,11.5,2.45,0.0,Medina,0 days 00:12:49,769.0,13.95
Jesus Ramirez,2017-02-07 10:10:15,2017-02-07 10:14:15,Card,1,0.5,4.5,0.0,0.0,Ramirez,0 days 00:04:00,240.00000000000003,4.5
Jennifer Wilson,2017-02-04 18:32:50,2017-02-04 18:40:49,Card,6,0.98,6.5,0.0,0.0,Wilson,0 days 00:07:59,479.00000000000006,6.5
Emily White,2017-08-10 12:54:36,2017-08-10 13:04:58,Cash,5,1.08,7.5,1.66,0.0,White,0 days 00:10:22,622.0,9.16
Danny Wood,2017-02-03 17:49:20,2017-02-03 18:11:57,Cash,1,3.3,16.5,0.0,0.0,Wood,0 days 00:22:37,1357.0,16.5
Dr. Mark Church,2017-03-03 00:33:09,2017-03-03 00:42:00,Card,2,3.34,11.5,1.0,0.0,Church,0 days 00:08:51,531.0,12.5
Lawrence Patterson,2017-05-03 15:48:45,2017-05-03 16:15:04,Card,1,1.5,16.0,0.0,0.0,Patterson,0 days 00:26:19,1579.0,16.0
Bethany Price,2017-04-02 17:54:37,2017-04-02 19:03:03,Cash,1,6.7,44.0,6.0,0.0,Price,0 days 01:08:26,4106.0,50.0
Jordan Mccormick,2017-02-11 21:01:15,2017-02-11 21:16:44,Cash,1,1.67,10.5,2.36,0.0,Mccormick,0 days 00:15:29,929.0000000000001,12.86
Randy Taylor,2017-02-05 13:54:56,2017-02-05 14:01:03,Cash,2,1.2,6.5,1.0,0.0,Taylor,0 days 00:06:07,367.0,7.5
Ashley Small,2017-08-16 14:07:55,2017-08-16 14:27:41,Card,1,4.55,18.0,0.0,0.0,Small,0 days 00:19:46,1186.0,18.0
Ronald Chen,2017-05-02 17:12:34,2017-05-02 17:27:20,Card,2,3.01,13.5,3.06,0.0,Chen,0 days 00:14:46,886.0,16.56
Ariana Wade,2017-04-07 13:06:45,2017-04-07 13:16:03,Cash,1,1.08,7.5,1.66,0.0,Wade,0 days 00:09:18,558.0,9.16
Kaitlyn Evans,2017-12-26 10:21:40,2017-12-26 10:59:48,Cash,2,17.9,52.0,0.0,5.76,Evans,0 days 00:38:08,2288.0,57.76
Anne Santos,2017-11-30 10:09:25,2017-11-30 10:19:01,Cash,1,1.1,8.0,2.0,0.0,Santos,0 days 00:09:36,576.0,10.0
Ashley Garcia,2017-07-19 11:06:18,2017-07-19 11:15:16,Card,2,1.8,8.0,2.2,0.0,Garcia,0 days 00:08:58,538.0,10.2
Brent Baker,2017-06-03 21:18:11,2017-06-03 21:27:53,Card,1,1.1,8.0,2.3,0.0,Baker,0 days 00:09:42,582.0,10.3
Krystal Rhodes,2017-09-28 03:53:08,2017-09-28 04:15:42,Card,1,12.3,35.0,4.0,0.0,Rhodes,0 days 00:22:34,1354.0,39.0
Mr. Manuel Rose,2017-05-06 21:31:34,2017-05-06 21:43:58,Card,2,1.85,9.5,0.0,0.0,Rose,0 days 00:12:24,744.0,9.5
Belinda Hamilton,2017-02-17 20:25:54,2017-02-17 20:30:35,Cash,1,0.7,5.0,1.25,0.0,Hamilton,0 days 00:04:41,281.0,6.25
Tracy Payne DDS,2017-10-28 17:28:59,2017-10-28 17:59:20,Card,2,4.9,22.5,0.0,0.0,DDS,0 days 00:30:21,1821.0,22.5
Christopher Martinez,2017-10-19 10:57:18,2017-10-19 11:15:50,Cash,1,1.58,12.0,3.2,0.0,Martinez,0 days 00:18:32,1112.0,15.2
Jonathan Hernandez,2017-06-28 21:04:41,2017-06-28 21:42:48,Cash,1,8.34,33.5,5.22,0.0,Hernandez,0 days 00:38:07,2287.0,38.72
Janice Watkins,2017-08-30 11:06:54,2017-08-30 11:12:13,Cash,6,1.21,6.0,0.0,0.0,Watkins,0 days 00:05:19,319.0,6.0
Jennifer Maldonado,2017-04-11 14:42:30,2017-04-11 14:49:02,Card,1,1.0,6.5,0.0,0.0,Maldonado,0 days 00:06:32,392.0,6.5
William Jones,2017-05-07 14:43:07,2017-05-07 14:59:06,Cash,1,2.83,13.0,0.0,0.0,Jones,0 days 00:15:59,959.0000000000001,13.0
Kimberly Garza,2017-09-07 12:03:22,2017-09-07 12:22:05,Cash,1,4.1,16.0,4.2,0.0,Garza,0 days 00:18:43,1123.0,20.2
Tina Romero,2017-01-20 11:34:30,2017-01-20 11:37:08,Card,2,0.61,4.0,0.0,0.0,Romero,0 days 00:02:38,158.0,4.0
Mark Santiago,2017-08-15 13:47:56,2017-08-15 14:32:10,Cash,1,11.0,37.5,8.0,5.76,Santiago,0 days 00:44:14,2654.0,51.26
Jennifer Conway,2017-09-30 04:22:10,2017-09-30 04:29:25,Cash,1,2.95,10.0,0.0,0.0,Conway,0 days 00:07:15,435.0,10.0
Neil Butler,2017-09-16 02:06:50,2017-09-16 02:23:10,Cash,1,5.23,18.5,4.95,0.0,Butler,0 days 00:16:20,980.0000000000001,23.45
Zachary Williams,2017-12-08 07:29:20,2017-12-08 07:43:00,Card,1,1.7,11.0,0.0,0.0,Williams,0 days 00:13:40,820.0,11.0
Michelle Dean,2017-05-23 08:20:05,2017-05-23 08:21:54,Card,1,0.2,3.5,0.0,0.0,Dean,0 days 00:01:49,109.0,3.5
Leslie Joseph,2017-04-06 23:57:58,2017-04-07 00:09:51,Card,1,2.26,10.5,0.0,0.0,Joseph,0 days 00:11:53,713.0,10.5
Brian Hanson,2017-06-25 19:29:34,2017-06-25 20:13:34,Cash,1,7.0,31.5,7.6,5.76,Hanson,0 days 00:44:00,2640.0,44.86
Andrew Stewart,2017-06-16 18:51:55,2017-06-16 19:06:33,Cash,1,3.13,12.5,1.2,0.0,Stewart,0 days 00:14:38,878.0,13.7
Tyler Watson,2017-06-30 08:07:59,2017-06-30 08:14:09,Cash,1,1.09,6.0,1.0,0.0,Watson,0 days 00:06:10,370.0,7.0
Krystal Smith,2017-05-10 09:15:25,2017-05-10 09:56:14,Card,3,12.58,39.5,13.82,5.76,Smith,0 days 00:40:49,2449.0,59.08
Dustin Barber,2017-05-20 16:46:48,2017-05-20 16:59:18,Card,1,1.98,10.5,2.82,0.0,Barber,0 days 00:12:30,750.0,13.32
Crystal Cordova,2017-03-20 10:33:55,2017-03-20 11:00:48,Card,1,2.84,17.5,4.58,0.0,Cordova,0 days 00:26:53,1613.0,22.08
Emily Matthews,2017-05-31 09:20:03,2017-05-31 09:40:36,Card,3,2.57,14.5,3.06,0.0,Matthews,0 days 00:20:33,1233.0,17.56
Toni Taylor,2017-03-10 09:04:43,2017-03-10 09:12:04,Cash,6,1.57,7.5,2.0,0.0,Taylor,0 days 00:07:21,441.0,9.5
Kathleen Fields,2017-11-18 03:41:01,2017-11-18 03:44:49,Cash,1,0.7,5.0,2.0,0.0,Fields,0 days 00:03:48,228.0,7.0
Michael Bennett,2017-07-22 23:00:08,2017-07-22 23:15:51,Card,1,3.17,12.5,2.07,0.0,Bennett,0 days 00:15:43,943.0000000000001,14.57
Christopher Page,2017-09-10 14:48:24,2017-09-10 16:11:11,Card,1,19.8,52.0,13.0,0.0,Page,0 days 01:22:47,4967.0,65.0
Brooke Greene,2017-05-07 02:11:41,2017-05-07 02:18:38,Cash,1,1.84,8.0,2.32,0.0,Greene,0 days 00:06:57,417.0,10.32
Lee Downs,2017-08-11 18:54:26,2017-08-11 19:19:54,Cash,1,5.12,20.0,1.0,0.0,Downs,0 days 00:25:28,1528.0,21.0
Jacob Wu,2017-12-16 15:44:37,2017-12-16 16:32:27,Cash,5,16.51,48.0,9.76,0.0,Wu,0 days 00:47:50,2870.0,57.76
Margaret Walsh,2017-04-19 09:17:13,2017-04-19 09:39:14,Card,1,4.5,18.0,3.0,0.0,Walsh,0 days 00:22:01,1321.0,21.0
Tara Roberson,2017-03-02 08:09:48,2017-03-02 08:28:51,Card,2,1.4,12.5,2.65,0.0,Roberson,0 days 00:19:03,1143.0,15.15
Christian Fuller,2017-09-27 18:29:10,2017-09-27 18:38:12,Card,2,1.05,7.5,1.8,0.0,Fuller,0 days 00:09:02,542.0,9.3
Jordan Anderson,2017-02-26 14:13:56,2017-02-26 14:25:44,Card,6,1.66,10.0,1.0,0.0,Anderson,0 days 00:11:48,708.0,11.0
Deanna James,2017-05-31 19:00:46,2017-05-31 19:03:27,Card,1,0.51,4.0,0.0,0.0,James,0 days 00:02:41,161.0,4.0
William Hernandez,2017-06-14 07:06:10,2017-06-14 07:15:12,Cash,6,0.96,7.5,1.66,0.0,Hernandez,0 days 00:09:02,542.0,9.16
Marco Morrison,2017-06-21 12:11:49,2017-06-21 12:19:21,Card,1,0.9,6.5,1.45,0.0,Morrison,0 days 00:07:32,452.0,7.95
Tracy Gould,2017-06-19 19:47:24,2017-06-19 20:23:08,Card,5,7.96,29.0,0.0,5.76,Gould,0 days 00:35:44,2144.0,34.76
Amanda Elliott,2017-04-21 08:18:35,2017-04-21 08:30:49,Card,1,1.94,10.0,0.0,0.0,Elliott,0 days 00:12:14,734.0,10.0
Adam Gilbert,2017-12-14 14:15:03,2017-12-14 14:30:41,Card,2,5.12,18.0,3.76,0.0,Gilbert,0 days 00:15:38,938.0000000000001,21.759999999999998
David Smith,2017-09-24 15:36:57,2017-09-24 16:23:40,Card,2,12.06,39.0,9.11,5.76,Smith,0 days 00:46:43,2803.0,53.87
Linda Smith,2017-11-12 13:39:24,2017-11-12 13:48:08,Cash,2,1.25,7.5,0.0,0.0,Smith,0 days 00:08:44,524.0,7.5
Jeffrey Klein,2017-08-03 20:18:52,2017-08-03 20:45:35,Cash,1,3.2,19.0,4.05,0.0,Klein,0 days 00:26:43,1603.0,23.05
Justin Brown,2017-03-02 09:23:08,2017-03-02 09:27:11,Card,1,0.7,5.0,1.15,0.0,Brown,0 days 00:04:03,243.00000000000003,6.15
Lisa Martinez,2017-12-16 02:32:11,2017-12-16 02:37:49,Cash,1,1.4,6.5,2.3,0.0,Martinez,0 days 00:05:38,338.0,8.8
Jeffrey Evans,2017-06-14 22:32:13,2017-06-14 22:48:49,Cash,1,2.4,13.0,2.85,0.0,Evans,0 days 00:16:36,996.0000000000001,15.85
Carlos Watson,2017-08-30 13:18:23,2017-08-30 13:24:06,Card,1,0.9,5.5,0.0,0.0,Watson,0 days 00:05:43,343.0,5.5
Tammy Henderson,2017-07-23 00:30:25,2017-07-23 00:44:22,Cash,3,2.25,11.0,0.0,0.0,Henderson,0 days 00:13:57,837.0,11.0
Brian Christensen,2017-04-08 19:52:04,2017-04-08 19:55:30,Card,1,0.6,4.5,0.0,0.0,Christensen,0 days 00:03:26,206.0,4.5
Kristie Pratt,2017-12-03 12:43:48,2017-12-03 12:53:38,Card,1,1.38,8.0,1.0,0.0,Pratt,0 days 00:09:50,590.0,9.0
Alyssa Sweeney,2017-07-03 06:16:48,2017-07-03 06:19:16,Cash,1,0.8,4.5,0.0,0.0,Sweeney,0 days 00:02:28,148.0,4.5
Judith Medina,2017-11-17 23:54:00,2017-11-18 00:30:03,Cash,1,3.0,22.0,3.0,0.0,Medina,0 days 00:36:03,2163.0,25.0
Bradley Morales,2017-07-19 10:37:35,2017-07-19 10:42:57,Cash,1,0.79,5.5,0.0,0.0,Morales,0 days 00:05:22,322.0,5.5
Franklin Mckenzie,2017-12-09 09:50:35,2017-12-09 09:53:39,Cash,2,0.44,4.0,0.96,0.0,Mckenzie,0 days 00:03:04,184.0,4.96
Susan Lawrence,2017-09-22 05:59:06,2017-09-22 06:12:47,Card,2,3.4,13.0,0.0,0.0,Lawrence,0 days 00:13:41,821.0,13.0
Justin Campbell,2017-02-21 15:47:27,2017-02-21 15:59:45,Card,2,2.18,10.0,2.16,0.0,Campbell,0 days 00:12:18,738.0,12.16
Janet Hall,2017-04-15 00:06:31,2017-04-15 00:14:25,Card,1,1.15,7.5,2.64,0.0,Hall,0 days 00:07:54,474.00000000000006,10.14
Cody Taylor,2017-10-05 07:49:33,2017-10-05 07:58:58,Cash,1,1.25,7.5,1.0,0.0,Taylor,0 days 00:09:25,565.0,8.5
Joe Cooke,2017-12-27 07:22:37,2017-12-27 07:28:53,Cash,1,1.2,6.5,1.45,0.0,Cooke,0 days 00:06:16,376.0,7.95
Rebekah Gilbert,2017-05-10 12:34:32,2017-05-10 12:40:33,Card,1,0.87,6.0,1.36,0.0,Gilbert,0 days 00:06:01,361.0,7.36
Veronica Morgan,2017-03-30 20:07:29,2017-03-30 20:28:47,Cash,1,3.83,16.5,3.56,0.0,Morgan,0 days 00:21:18,1278.0,20.06
Angela Ramirez,2017-04-05 15:34:54,2017-04-05 15:51:32,Card,3,3.08,13.5,0.0,0.0,Ramirez,0 days 00:16:38,998.0000000000001,13.5
Erin Mann,2017-12-09 12:16:15,2017-12-09 12:26:17,Cash,1,1.34,8.0,0.0,0.0,Mann,0 days 00:10:02,602.0,8.0
Ann Brown,2017-11-10 17:43:29,2017-11-10 18:00:17,Cash,1,1.25,11.0,2.56,0.0,Brown,0 days 00:16:48,1008.0000000000001,13.56
Kelly Anderson,2017-01-25 14:36:06,2017-01-25 14:46:44,Card,1,0.9,8.0,1.32,0.0,Anderson,0 days 00:10:38,638.0,9.32
Lisa Black,2017-01-23 06:33:22,2017-01-23 06:36:45,Cash,1,0.6,4.5,0.0,0.0,Black,0 days 00:03:23,203.0,4.5
Mr. Jason Hall,2017-09-20 12:29:35,2017-09-20 12:41:09,Cash,1,1.16,8.5,0.0,0.0,Hall,0 days 00:11:34,694.0,8.5
Sarah Archer,2017-01-20 09:45:12,2017-01-20 09:50:03,Cash,1,1.08,6.0,2.04,0.0,Archer,0 days 00:04:51,291.0,8.04
Yesenia Robinson,2017-02-03 10:16:32,2017-02-03 10:23:28,Card,5,0.93,6.5,0.7,0.0,Robinson,0 days 00:06:56,416.0,7.2
Bryan Smith,2017-11-18 19:30:41,2017-11-18 20:14:46,Cash,1,4.8,27.5,7.05,0.0,Smith,0 days 00:44:05,2645.0,34.55
Phillip Mcintyre,2017-02-19 19:35:13,2017-02-19 20:16:58,Cash,1,11.7,38.5,7.85,0.0,Mcintyre,0 days 00:41:45,2505.0,46.35
Douglas Lee,2017-10-15 09:30:31,2017-10-15 09:41:26,Cash,2,2.07,10.0,2.16,0.0,Lee,0 days 00:10:55,655.0,12.16
Elizabeth Simon,2017-12-14 14:01:02,2017-12-14 14:34:05,Cash,4,3.1,20.5,0.0,0.0,Simon,0 days 00:33:03,1983.0000000000002,20.5
Nicholas Walker,2017-06-06 11:03:17,2017-06-06 11:18:52,Card,1,2.2,12.0,0.0,0.0,Walker,0 days 00:15:35,935.0000000000001,12.0
Jose Harris,2017-07-05 21:13:01,2017-07-05 21:21:36,Card,1,2.2,9.0,2.05,0.0,Harris,0 days 00:08:35,515.0,11.05
Nancy Romero,2017-10-13 05:18:34,2017-10-13 05:26:57,Card,3,2.83,9.5,1.5,0.0,Romero,0 days 00:08:23,503.00000000000006,11.0
Ruben Morrow,2017-11-04 11:23:24,2017-11-04 11:32:54,Cash,1,1.5,8.0,1.32,0.0,Morrow,0 days 00:09:30,570.0,9.32
Dennis Simmons,2017-08-23 12:14:35,2017-08-23 12:33:54,Cash,1,2.9,14.5,2.0,0.0,Simmons,0 days 00:19:19,1159.0,16.5
Matthew James,2017-02-23 21:55:21,2017-02-23 22:17:22,Card,1,4.38,17.5,0.0,0.0,James,0 days 00:22:01,1321.0,17.5
Robin Torres,2017-08-02 21:10:45,2017-08-02 21:17:54,Card,1,1.27,7.0,2.49,0.0,Torres,0 days 00:07:09,429.0,9.49
